
1/13/2023 7:04:40 PM-->197
1/13/2023 7:04:49 PM-->23
1/14/2023 3:40:23 PM-->446
1/14/2023 3:41:15 PM-->258
1/14/2023 4:04:17 PM-->98
1/14/2023 4:05:34 PM-->147
1/14/2023 4:05:55 PM-->151
1/14/2023 4:15:38 PM-->292
1/14/2023 4:15:51 PM-->154
1/14/2023 4:16:32 PM-->867
1/14/2023 4:19:48 PM-->153
1/14/2023 4:21:03 PM-->154
1/14/2023 4:22:08 PM-->154
1/14/2023 4:22:27 PM-->153
1/14/2023 4:23:00 PM-->325
1/14/2023 4:34:50 PM-->150
1/14/2023 4:37:06 PM-->867
1/14/2023 4:37:40 PM-->814
1/14/2023 4:41:45 PM-->267
1/14/2023 4:42:58 PM-->2,394
